num_kmers,sbwt_len,num_color_sets,mean_color_set_size,mean_kmer_color_set_size,key_kmer_frac,num_forward_unitigs,min_unitig_len,max_unitig_len,mean_unitig_len,num_sparse,num_dense,dataset
9899900,9906383,3,1.33,1.99,0.0006,4445,31,60680,2257.2,0,3,S-2
9923774,9931154,15,2.13,3.97,0.0008,5887,31,60680,1715.71,0,15,S-4
11154212,11174379,215,3.99,6.97,0.0037,34328,31,29178,354.93,0,215,S-8
14424744,14449161,720,7.79,10.84,0.0144,199289,31,35962,102.38,0,720,S-16
15219136,15244547,1607,15.51,20.5,0.0149,216883,31,35962,100.17,0,1607,S-32
20185354,20212073,4050,29.6,30.49,0.0246,484135,31,106736,71.69,0,4050,S-64
25820642,25866692,18415,57.96,47.68,0.029300000000000003,737677,31,106736,65.0,2593,15822,S-128
37228100,37279189,125840,141.79,66.57,0.0375,1372922,31,106736,57.12,14059,111781,S-256
60223428,60339914,687475,268.83,82.04,0.0461,2734306,31,106736,52.03,130209,557266,S-512
79681694,79818219,1098310,518.38,123.65,0.048799999999999996,3835925,31,63005,50.77,292619,805691,S-1024
123385316,123819108,1743323,964.6,160.11,0.049,5925366,31,63005,50.82,535700,1207623,S-2048
170807566,171427484,2540284,1743.32,229.74,0.0521,8686367,31,167517,49.66,951462,1588822,S-4096
219025616,220246672,3385675,3217.66,357.85,0.053099999999999994,11241222,31,167517,49.48,1410479,1975196,S-8192
355596480,358392054,5841342,5512.34,440.83,0.0576,19737346,31,167482,48.02,2862855,2978487,S-16384
514359252,518641679,8396262,9367.01,609.37,0.057,28289327,31,267587,48.18,4616836,3779426,S-32768
679565754,686007184,11470379,15911.33,921.01,0.057999999999999996,37961602,31,267587,47.9,6992637,4477742,S-65536
18555110,18555600,3,1.33,1.0,0.0005,8281,31,144621,2270.68,0,3,R-2
26044686,26049531,12,2.0,1.23,0.008100000000000001,208477,31,86351,154.93,0,12,R-4
42727232,42733939,52,2.9,1.67,0.0115,488309,31,54857,117.5,0,52,R-8
69435404,69443742,471,4.58,2.12,0.013500000000000002,930834,31,387521,104.59,0,471,R-16
97228560,97241482,3246,6.77,2.75,0.0169,1630101,31,266682,89.65,0,3246,R-32
167895282,167932853,22110,9.9,3.21,0.017,2832410,31,140336,89.28,0,22110,R-64
290548286,290617483,188580,15.63,3.64,0.0169,4876243,31,140336,89.58,50749,137831,R-128
425718950,425847498,706316,26.62,4.83,0.018799999999999997,7918143,31,117962,83.76,330717,375599,R-256
749380340,749588023,1562367,47.6,5.5,0.0192,14239936,31,175415,82.63,894982,667385,R-512
1266299900,1266660035,3062665,85.43,6.6,0.019799999999999998,24752934,31,175076,81.16,1975597,1087068,R-1024
1923902914,1924652783,5414584,136.79,8.63,0.0207,39455816,31,175076,78.76,3874407,1540177,R-2048
3016705654,3018246597,8842659,222.31,10.97,0.022400000000000003,66920361,31,118888,75.08,6816089,2026570,R-4096
4889061902,4891961142,14556798,337.43,13.57,0.023799999999999998,114873088,31,174101,72.56,11929411,2627387,R-8192
7577410586,7582557343,24896466,510.51,17.47,0.0259,193979805,31,267587,69.06,21422536,3473930,R-16384
