tool	dataset	n_genomes	time_seconds	mem_bytes
themisto	salmonella	2	3.36	65036288
themisto	salmonella	4	2.39	74588160
themisto	salmonella	8	2.8	95145984
themisto	salmonella	16	1.92	140595200
themisto	salmonella	32	3.01	383160320
themisto	salmonella	64	6.26	406806528
themisto	salmonella	128	13.12	503152640
themisto	salmonella	256	30.05	836550656
themisto	salmonella	512	66.2	1598365696
themisto	salmonella	1024	140.77	1738633216
themisto	salmonella	2048	319.7	2776047616
themisto	salmonella	4096	655.76	3221602304
themisto	salmonella	8192	1314.19	4679872512
themisto	salmonella	16384	3287.1	12453744640
themisto	salmonella	32768	8586	26174431232
themisto	salmonella	65536	18323	50056851456
themisto	random	2	1.4	108122112
themisto	random	4	2.15	147374080
themisto	random	8	3.72	324833280
themisto	random	16	5.66	901447680
themisto	random	32	7.11	1431031808
themisto	random	64	15.63	2369372160
themisto	random	128	29.53	3999850496
themisto	random	256	55.86	5539495936
themisto	random	512	123.38	8457138176
themisto	random	1024	267.3	8558862336
themisto	random	2048	532.6	10137952256
themisto	random	4096	1118.12	13460467712
themisto	random	8192	2318.45	21579390976
themisto	random	16384	5062	34139549696
themisto_d10000	salmonella	2	2.36	56475648
themisto_d10000	salmonella	4	2.27	69312512
themisto_d10000	salmonella	8	2.09	87912448
themisto_d10000	salmonella	16	1.98	134406144
themisto_d10000	salmonella	32	2.93	375664640
themisto_d10000	salmonella	64	6.9	397070336
themisto_d10000	salmonella	128	12.91	503824384
themisto_d10000	salmonella	256	29.31	835190784
themisto_d10000	salmonella	512	66.11	1565093888
themisto_d10000	salmonella	1024	139.39	1829351424
themisto_d10000	salmonella	2048	317.96	2833903616
themisto_d10000	salmonella	4096	652.59	3148439552
themisto_d10000	salmonella	8192	1288.75	4919312384
themisto_d10000	salmonella	16384	3006.12	12086304768
themisto_d10000	salmonella	32768	7901	25906925568
themisto_d10000	salmonella	65536	17214	51098882048
themisto_d10000	random	2	1.5	88440832
themisto_d10000	random	4	2.13	128712704
themisto_d10000	random	8	3.63	324173824
themisto_d10000	random	16	5.6	875184128
themisto_d10000	random	32	7.2	1442770944
themisto_d10000	random	64	16.29	2404782080
themisto_d10000	random	128	29.81	3837521920
themisto_d10000	random	256	56.92	5027885056
themisto_d10000	random	512	121.21	7660838912
themisto_d10000	random	1024	256.27	7899082752
themisto_d10000	random	2048	508.96	9723330560
themisto_d10000	random	4096	1039.94	12372676608
themisto_d10000	random	8192	2205.43	18759274496
themisto_d10000	random	16384	4854	31753744384
themisto_to_disk_d10000	salmonella	2	2.82	51511296
themisto_to_disk_d10000	salmonella	4	6.26	56000512
themisto_to_disk_d10000	salmonella	8	6.89	68636672
themisto_to_disk_d10000	salmonella	16	7.78	177070080
themisto_to_disk_d10000	salmonella	32	9.36	360001536
themisto_to_disk_d10000	salmonella	64	14.28	399126528
themisto_to_disk_d10000	salmonella	128	24.2	444968960
themisto_to_disk_d10000	salmonella	256	43.22	830332928
themisto_to_disk_d10000	salmonella	512	96.38	1527525376
themisto_to_disk_d10000	salmonella	1024	199.69	1792499712
themisto_to_disk_d10000	salmonella	2048	454.94	2559479808
themisto_to_disk_d10000	salmonella	4096	930.6	2695254016
themisto_to_disk_d10000	salmonella	8192	1863.87	3618906112
themisto_to_disk_d10000	salmonella	16384	4609	6848266240
themisto_to_disk_d10000	salmonella	32768	12158	10875404288
themisto_to_disk_d10000	salmonella	65536	None	None
themisto_to_disk_d10000	random	2	2.71	79757312
themisto_to_disk_d10000	random	4	5.65	155279360
themisto_to_disk_d10000	random	8	18.21	363761664
themisto_to_disk_d10000	random	16	26.46	974163968
themisto_to_disk_d10000	random	32	29.9	1370046464
themisto_to_disk_d10000	random	64	41.86	2291122176
themisto_to_disk_d10000	random	128	63.92	3783065600
themisto_to_disk_d10000	random	256	91.91	5584760832
themisto_to_disk_d10000	random	512	194.76	8291602432
themisto_to_disk_d10000	random	1024	392.25	8228982784
themisto_to_disk_d10000	random	2048	754.18	9517268992
themisto_to_disk_d10000	random	4096	1522.5	11335512064
themisto_to_disk_d10000	random	8192	3191.65	15483817984
themisto_to_disk_d10000	random	16384	6860	23038083072
ggcat	salmonella	2	2.31	204726272
ggcat	salmonella	4	3.69	202039296
ggcat	salmonella	8	1.94	236064768
ggcat	salmonella	16	2.35	286011392
ggcat	salmonella	32	3.44	419274752
ggcat	salmonella	64	5.37	698355712
ggcat	salmonella	128	6.66	745279488
ggcat	salmonella	256	8.85	1108414464
ggcat	salmonella	512	14.09	1611317248
ggcat	salmonella	1024	23.47	2610507776
ggcat	salmonella	2048	45.44	4405456896
ggcat	salmonella	4096	86.53	6842351616
ggcat	salmonella	8192	148.6	13234384896
ggcat	salmonella	16384	365.27	24066445312
ggcat	salmonella	32768	821.36	31875432448
ggcat	salmonella	65536	2032.7	50749779968
ggcat	random	2	2.4	300343296
ggcat	random	4	2.34	415715328
ggcat	random	8	2.42	427597824
ggcat	random	16	3.16	584146944
ggcat	random	32	4.26	719572992
ggcat	random	64	7.4	1192644608
ggcat	random	128	8.53	1514549248
ggcat	random	256	11.48	1870450688
ggcat	random	512	18.14	2674229248
ggcat	random	1024	33.06	3913244672
ggcat	random	2048	57.12	5352493056
ggcat	random	4096	100.53999999999999	7557152768
ggcat	random	8192	189.05	12351803392
ggcat	random	16384	362.58	20478373888
bifrost	salmonella	2	4.25	96731136
bifrost	salmonella	4	3.8	105238528
