tool	dataset	n_genomes	time_seconds	mem_bytes
themisto	salmonella	2	2.45	61894656
themisto	salmonella	4	2.4	75177984
themisto	salmonella	8	3.13	93765632
themisto	salmonella	16	5.4	158154752
themisto	salmonella	32	7.39	382099456
themisto	salmonella	64	14.23	411389952
themisto	salmonella	128	27.85	500740096
themisto	salmonella	256	57.52	830177280
themisto	salmonella	512	125.63	1595817984
themisto	salmonella	1024	251.04	1768341504
themisto	salmonella	2048	554.32	2536837120
themisto	salmonella	4096	1198.19	3174748160
themisto	salmonella	8192	2473.14	4763312128
themisto	salmonella	16384	5763	11980185600
themisto	salmonella	32768	13840	25169612800
themisto	salmonella	65536	None	None
themisto	random	2	3.89	107384832
themisto	random	4	4.63	131850240
themisto	random	8	7.18	305160192
themisto	random	16	13.5	879788032
themisto	random	32	18.49	1440014336
themisto	random	64	29.72	2710945792
themisto	random	128	57.24	4133335040
themisto	random	256	104.06	5028667392
themisto	random	512	222.0	8270225408
themisto	random	1024	440.36	8464752640
themisto	random	2048	845.5	10112086016
themisto	random	4096	1660.02	13464907776
themisto	random	8192	3322.41	21586817024
themisto	random	16384	6851	34094276608
ggcat	salmonella	2	11.65	1487974400
ggcat	salmonella	4	9.86	1497862144
ggcat	salmonella	8	10.57	1586917376
ggcat	salmonella	16	12.04	1703784448
ggcat	salmonella	32	13.66	1767907328
ggcat	salmonella	64	17.88	1876393984
ggcat	salmonella	128	26.72	1939771392
ggcat	salmonella	256	42.27	2633830400
ggcat	salmonella	512	74.77	3489087488
ggcat	salmonella	1024	147.26	4815478784
ggcat	salmonella	2048	236.87	7308374016
ggcat	salmonella	4096	478.81	11107983360
ggcat	salmonella	8192	822.43	18818031616
ggcat	salmonella	16384	1657.45	35863011328
ggcat	salmonella	32768	4065	71442620416
ggcat	salmonella	65536	9350	100052320256
ggcat	random	2	5.19	1485086720
ggcat	random	4	5.81	1517572096
ggcat	random	8	6.21	1589907456
ggcat	random	16	6.04	1687314432
ggcat	random	32	8.92	2106929152
ggcat	random	64	13.88	2361016320
ggcat	random	128	18.36	2314534912
ggcat	random	256	36.3	2676289536
ggcat	random	512	51.83	3412959232
ggcat	random	1024	116.75999999999999	5760692224
ggcat	random	2048	215.41	8412528640
ggcat	random	4096	482.78	20917125120
ggcat	random	8192	934.2	36813484032
ggcat	random	16384	1914.39	58724212736
bifrost	salmonella	2	5.75	80887808
bifrost	salmonella	4	5.42	84922368
bifrost	salmonella	8	6.05	95608832
bifrost	salmonella	16	10.04	123940864
bifrost	salmonella	32	14.24	129019904
bifrost	salmonella	64	43.83	176373760
bifrost	salmonella	128	52.29	229486592
bifrost	salmonella	256	138.61	334295040
bifrost	salmonella	512	250.31	578854912
bifrost	salmonella	1024	494.07	887570432
bifrost	salmonella	2048	1267.21	1615233024
bifrost	salmonella	4096	3266.55	3127046144
bifrost	salmonella	8192	8706	5981081600
bifrost	salmonella	16384	32269	16949592064
bifrost	random	2	5.91	98951168
bifrost	random	4	6.3	121196544
bifrost	random	8	12.86	166338560
bifrost	random	16	15.34	181256192
bifrost	random	32	33.68	380030976
bifrost	random	64	72.9	804102144
bifrost	random	128	129.27	1181986816
bifrost	random	256	211.67000000000002	1784565760
bifrost	random	512	270.02	1925013504
bifrost	random	1024	992.84	7151267840
bifrost	random	2048	1923.29	11428433920
bifrost	random	4096	4506	29075722240
bifrost	random	8192	None	None
metagraph_1gb_anno	salmonella	2	6.42	394510336
metagraph_1gb_anno	salmonella	4	12.27	586362880
metagraph_1gb_anno	salmonella	8	15.86	839843840
metagraph_1gb_anno	salmonella	16	24.79	1417973760
metagraph_1gb_anno	salmonella	32	39.64	2666545152
metagraph_1gb_anno	salmonella	64	80.01	4743184384
metagraph_1gb_anno	salmonella	128	199.21	9948364800
metagraph_1gb_anno	salmonella	256	510.73	17180856320
metagraph_1gb_anno	salmonella	512	1243.72	31709384704
metagraph_1gb_anno	salmonella	1024	3785	66959360000
metagraph_1gb_anno	salmonella	2048	12774	125507956736
